state,structure,status,requested_seed,final_seed,seed_retried,partition_mode,audit_result,audit_population_pass,manifest_population_balance_valid,native_manifest_consistent,units,districts,edge_cut,edge_cut_ratio_to_standard,canonical_assignment_sha256
NV,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,779,4,1047725.4956,1.002114861007,11a23e2f9c083365ea9cdd6b8494de9b850986b12e098df7ebb1337f65fd9ea1
NV,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,779,4,1582887.13547,1.513979308905,5b5f2a6fcfd1e18bcd2d956a7820012f1681274ff5c23d85d09497cb014d5024
NV,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,779,4,904276.55638,0.864910684539,c394dbe748ca2935cd55d0a14257220ff9911e8b477ad96bb71dc866a3a91dd4
UT,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,716,4,954274.98702,1.0,b2b0d4c155179605277c1eda086278e2144c511db45f27e57c425e2b6eaa0ee0
UT,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,716,4,802956.62432,0.841431070961,3308c27afe7c97152aea9dd16d6a9e6be593b0aca660d169c4d6fd4c86bc8897
UT,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,716,4,2335549.13968,2.447459245446,4fa271c8590487ab476c7e08f2af0ed2d684c0291713068ceaf5c120e90845c8
UT,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,716,4,975264.42722,1.021995169616,5a4fd4f5f158df52415b36b6ef4ea2cb684c2f71bb00d52a0cda1e382488466e
OK,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1205,5,1351373.33285,1.0,34dff5c78dff57d51907a5568e06c2cb64005441357f7ad7bb1ae2b094941457
OK,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1205,5,1340514.52981,0.991964616456,bfc6787f2e451422bd39090e2fe5271d20a3ce93c2841c53e409a3d608969104
OK,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1205,5,1516553.88281,1.122231618713,7afe4e9d435f891c01b7c0b699935014d39063add7ac5e26c6fca4b5702e5bb6
OK,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1205,5,1555540.7319,1.15108141776,4e6e994e5893edbdb56d0b50c6249b0c7207144d75e9bee028aa59c45416f6ab
LA,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1388,6,1510512.00727,1.0,5f422d14b7734ef8cfb43d0facd991fb938f651df81e1107f026413ef81b3e52
LA,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1388,6,1510512.00727,1.0,5f422d14b7734ef8cfb43d0facd991fb938f651df81e1107f026413ef81b3e52
LA,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1388,6,1975264.20063,1.307678582575,1c02d519da36595e009effadae6dcf3ffc5689986d61c7bf93f3fc6d5152366a
LA,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1388,6,1932208.77532,1.279174720903,8db457ea960f10c1ee7fbedc78724909fc97fcfe392129a6be64f7ac6337d881
OR,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1001,6,1608525.82724,1.0,862054eae82b6f590be82633e40f5978edffcb31022addab98d0a23b81990ccb
OR,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1001,6,1423528.72672,0.8849896611,2b36ae57e68dba2b869da1d3ba60f46ba2ec1fdb7a42088869568c646c3cf5c8
OR,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1001,6,1864704.97233,1.159263308522,1bd1865129c0bee53382e12623c91f98cdcacffed670151d1e8744cd832195ec
OR,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1001,6,1592625.30381,0.990114847296,00fbc11d724dea40d9100db08479e62d2aee5782154210b5489a39292d1dd13f
AL,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1437,7,1910809.17171,1.0,b163e0d65e82fb7e711429f040c731d3b6d15d5ae23b6a140f142623755294f5
AL,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1437,7,1910809.17171,1.0,b163e0d65e82fb7e711429f040c731d3b6d15d5ae23b6a140f142623755294f5
AL,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1437,7,2026886.20767,1.060747581537,ea2f22c155c17f7036144bbf68c47882a2cba0e62285b6a029829b3690692236
AL,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1437,7,1983781.36308,1.038189156955,c5554b932b53ee63c69cca9e069c17d1a9e647942641a0893c012805feaf9c97
CO,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1447,8,2249876.60121,1.0,969efe11d39bb6066eaa6faff247a1d8195aac25339ca3aa1e0ff1420958271a
CO,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1447,8,1737544.19571,0.772284219844,db6a4d5f6a234370d32b7f52be2876a9aa80d274f8f4dcffbefb5727d29e0934
CO,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1447,8,1746814.36054,0.776404519075,acac3d517f725e9e5f4d0179c08eb4432ecbf1958884064bbe59fc986bd22659
CO,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1447,8,2260440.79741,1.004695455828,bfddbb4d616dc5ffd93dfb59fca57931eb11cbcdcf79685645452f117c73e32b
MD,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1475,8,840767.36103,1.0,91770d37d819073c5d2241592691c7a5f199eb933e342e6e9ddfcd8586ecca25
MD,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1475,8,801693.63117,0.953526109991,c469f2b9a6083b05d718efb0767d10a5655ab97b024e12e4ed5cf7ce7b11787f
MD,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1475,8,696119.65875,0.827957519542,d5f7aadf81cee31fb382b0c948b1c678dfb61bfe0a5b1f5f73f09e70b1e5c951
MD,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1475,8,806298.59055,0.959003201031,1f0d9318901666ae433549313df74d1e2fd537170e01c3cf8648ca82878a070f
MN,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1505,8,1582788.59361,1.0,bc8053270db7fc3454f68006359345e4a4a63f9c57843b425065ede0c1c7da70
MN,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1505,8,1549909.49917,0.97922710931,da63ffe204704e5ba9d48867d8d3263c3294ab3bd7b09b6201c4b5a04a87f835
MN,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1505,8,1773005.9071,1.120178597608,437e34d8d568a44a8ec3f3b6e5eb9dd225527952622caf48fb9574f07a8b8bec
MN,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1505,8,1583965.33201,1.000743458984,c3c48f224b205eac6cbfb3f58902b38c91042b90b0e059f1ce23439fbb607053
MO,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1654,8,2200046.72452,1.0,17f8d97f3c6d00908a31a6b33ef89ee286ad67aea1587339e9f2c6b65b5761e8
MO,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1654,8,2212628.39834,1.005718821187,432b989cc1ff90f26f51547203593c6739cda5145aeea6aa5d3a6e80eb1ab1eb
MO,ratio-optimal-area,pass,0,0,False,areasection,pass,True,True,True,1654,8,2301254.87029,1.046002725598,5fe552fdd2e2ea31cb0e6477b77a54284c657e20a782edd06944038d0a133d8f
MO,prime-factor,pass,0,0,False,apportion-regions,pass,True,True,True,1654,8,2402656.1776,1.09209325003,cd735100aa8b22dfc656d71b7beb1770f23e0b11a4a4bb4b1817330f1fa75e70
IN,standard-bisect,pass,0,0,False,edge-weighted,pass,True,True,True,1696,9,1828281.20558,1.0,47c4d0dc95a22e5db1b19b3323483ef723b44f97f9f75aa39931271c9d3eeb79
IN,ratio-optimal,pass,0,0,False,geosection,pass,True,True,True,1696,9,1793895.99253,0.981192601584,117afc76b5170bcf1e36d895fdd02e1746a877d45a37e356e7f896d6b650105e
