state,plan_family,district,block_count,area_m2,perimeter_m,minimum_bounding_radius_m,polsby_popper,reock,convex_hull_ratio,schwartzberg,component_count,interior_ring_count
CA,enacted-congressional-session-118,43,6592,187157879.41598016,142194.00664982546,12675.25776008432,0.11632026863774225,0.3708041990757614,0.6648921890098584,2.932056276877695,3,10
CA,enacted-congressional-session-118,44,6707,245353509.9684337,264338.7241290819,15197.813734390133,0.04412457753677408,0.33812724632176006,0.6211597728888726,4.760578378766154,3,10
CA,enacted-congressional-session-118,45,6123,268761717.3107273,233488.32672053768,15653.494533825875,0.06195080096961105,0.34913623388582116,0.5232886393210971,4.017691045586064,3,3
CA,enacted-congressional-session-118,46,5140,194190926.09268722,122395.02259143897,11636.161463438257,0.16289632375713275,0.4565197622423418,0.6941736696716059,2.477675111759574,1,0
CA,enacted-congressional-session-118,47,7343,450684773.5084228,318054.3262550179,23304.600173623512,0.05598608960926575,0.2641433613852635,0.5967725812721801,4.226296211883125,13,17
CA,enacted-congressional-session-118,48,8293,9380559976.569336,1020279.3845769698,83323.26124097814,0.11324014205729972,0.4300771532620613,0.8066045842397009,2.9716646443967387,2,20
CA,enacted-congressional-session-118,49,6499,1286469079.6527097,395024.99640555185,41169.812123344345,0.103600072852706,0.2415970958314963,0.6703878058294199,3.106847737620744,2,13
CA,enacted-congressional-session-118,50,7053,685519006.0957174,436832.85687263386,37382.00963947202,0.04514386831652047,0.15615084444477842,0.4320109802180167,4.706527653768036,1,10
CA,enacted-congressional-session-118,51,5531,492480547.83194244,250117.19593928062,18289.985662257204,0.09892631750923016,0.46861099963381264,0.6528517828696846,3.1793920102516515,1,3
CA,enacted-congressional-session-118,52,5308,354561722.47346073,217773.26792773843,16952.482741077176,0.0939490896195637,0.39271306876886686,0.7303014419263404,3.262523976077489,4,0
CO,NRS-v0.3,1,18683,44812840808.255,2371968.2547703707,161716.4822915076,0.10009090019529271,0.5454362920464749,0.7884621347616443,3.160841380995274,1,78
CO,NRS-v0.3,2,11571,11703601660.347324,3242382.142221649,146296.29623689118,0.013989461527835836,0.1740616101380152,0.31253408379254466,8.454725285171879,2,22
CO,NRS-v0.3,3,27489,90398961796.1965,6532338.310800938,269975.8557115992,0.02662171128375087,0.39478779451767665,0.6067843183144574,6.128892662027456,3,179
CO,NRS-v0.3,4,29817,94124073167.85371,4259136.790944856,322189.9891119376,0.06520297320445402,0.28862022156444056,0.6981218597449564,3.9162129587659145,2,162
CO,NRS-v0.3,5,14284,6077129985.035223,1593830.2266798231,76771.50022534188,0.030062443114780246,0.3282075733424297,0.6973131927511054,5.767503464014157,3,56
CO,NRS-v0.3,6,11938,2259795681.9515753,838123.7644052833,48407.1648180489,0.040426182159717064,0.30697287931797274,0.5358655879141625,4.973574591726823,1,22
CO,NRS-v0.3,7,13705,10291527235.33385,2220085.278076006,108138.24434134418,0.026239187194728543,0.28013755006617347,0.604729095227461,6.173405592921726,1,49
CO,NRS-v0.3,8,11565,9424969478.389242,1715204.4556230009,84544.32866372737,0.040258540298764675,0.41972140691537063,0.6601976691214552,4.983919143526254,1,30
CO,enacted-congressional-session-118,1,10219,400175691.5966978,247063.17110174085,26495.71703756181,0.08238431697804112,0.1814468685136791,0.49032582539951375,3.4839966381807157,1,3
CO,enacted-congressional-session-118,2,18432,29776306706.0322,1920509.1344165988,120269.07017001667,0.10144903936066194,0.6552590831341036,0.8921016870051134,3.1396123626791574,8,138
CO,enacted-congressional-session-118,3,35865,129545911116.69345,4031700.707016123,340209.4542623909,0.10015139529538411,0.35627149858156043,0.7569442244933553,3.1598866049826686,4,173
CO,enacted-congressional-session-118,4,25460,83483406889.46527,3269995.0979885934,256594.04635021221,0.09811057584585359,0.403605560097578,0.8314894729638871,3.192582197693121,3,181
CO,enacted-congressional-session-118,5,11529,3817891490.6461473,303122.64172706456,47185.53783078948,0.522151693258878,0.5458280989269195,0.9125809440498303,1.3838902661682424,1,4
CO,enacted-congressional-session-118,6,8689,798289319.8243402,350933.27763572155,31352.876634937104,0.0814556245151167,0.25849709033474877,0.6526163539529988,3.5038012330903574,1,5
CO,enacted-congressional-session-118,7,15894,18615125479.064247,1302059.8997673832,122391.60819733652,0.13797928947598784,0.395560404764122,0.7952025232169315,2.692111528886829,1,58
CO,enacted-congressional-session-118,8,12964,2655793120.041569,520909.0579298232,46205.06667762702,0.12299296944617312,0.39597262825676244,0.7363435571104356,2.851411235596164,1,47
CT,NRS-v0.3,1,10215,3801643692.168288,1787894.6320680813,74117.32969631071,0.014945052101424482,0.22028352087144074,0.441119436847459,8.179961945959304,9,76
CT,NRS-v0.3,2,10661,3705426585.0296755,1597918.1347188775,58532.49800535763,0.018236396491614893,0.3442660704409067,0.6600200813992433,7.405092485994666,4,104
CT,NRS-v0.3,3,8253,1472501857.663515,1350960.0758490092,57146.544517003946,0.010138662956247355,0.14352449538686152,0.34146202840817813,9.931381318140419,18,57
CT,NRS-v0.3,4,10461,2475600442.316683,1597258.1546939942,63710.4461726535,0.012193831445272845,0.19413747907252166,0.5481875970416666,9.055864303330408,16,101
CT,NRS-v0.3,5,8768,1262568791.779204,833905.1129170133,30154.191078494063,0.02281558669446086,0.44198732232935,0.5692620944766016,6.620399230278142,6,57
CT,enacted-congressional-session-118,1,8913,1714476868.0722876,715695.2329267905,35815.39026218695,0.04206154731216791,0.42544397884933793,0.6460028074887908,4.875929049681458,4,35
CT,enacted-congressional-session-118,2,12735,5303854010.089487,1653475.0974634355,55511.628558215576,0.024378451072614365,0.5478652460677006,0.8250207037301036,6.404672773567194,10,182
CT,enacted-congressional-session-118,3,8764,1256647265.6928182,632743.5389213939,33531.27291387535,0.039442807159107085,0.355765177685195,0.7151094556858568,5.035192652870101,6,48
CT,enacted-congressional-session-118,4,8037,1185741647.0374708,560181.8882887943,36391.95818349142,0.04748340032933578,0.28498982303785053,0.6575386292203015,4.589116619317422,15,57
CT,enacted-congressional-session-118,5,9909,3257021578.065314,1046423.1772983882,45536.0740003563,0.03737797758291779,0.49998801569184875,0.7350450923406417,5.1723999684356885,9,83
